x,y,z
63.2529327,0.206,europe
96.91,0.059,europe
59.10237771,0.176,europe
83.94014193,0.676,europe
77,0.529,europe
67.3,0.176,europe
85.0529,0.441,europe
65.0655028,0.176,europe
56.6563,0.441,europe
69.8031,0.412,europe
71.7159,0.294,europe
75.6688387,0.5,europe
96.3305,0.588,europe
88.4118116,0.706,europe
86.42213333,0.618,europe
84.6945,0.588,europe
47.56975964,0.5,europe
87.5898,0.706,europe
66.835,0.206,europe
72.8347,0.676,europe
98.2,0.206,europe
80.1224,0.206,europe
58.14173496,0.559,europe
72.9,0.176,europe
30.24704278,0.118,europe
79.2006,0.647,europe
96.6411951,0.118,europe
71.378,0.441,europe
97.3341,0.471,europe
70.3802,0.147,europe
76.184,0.353,europe
63.30662538,0.382,europe
68.11958104,0.382,europe
91.72413793,0.676,europe
96.8103,0.735,europe
67.997,0.529,europe
68.6329,0.294,europe
55.7632,0.471,europe
73.41,0.5,europe
65.3170254,0.265,europe
77.6347,0.618,europe
73.0987,0.176,europe
78.6896,0.588,europe
90.6102,0.647,europe
87.4790556,0.353,europe
18.98,0.147,europe
53.74497914,0.647,europe
14.99677482,0.088,europe
48.88464368,0.353,europe
92.0003,0.706,europe
42.8,0.147,europe