Date,Time1,Time2,Vol_BTC_in_AUD,Vol_BTC_in_CAD,Vol_BTC_in_CNY,Vol_BTC_in_EUR,Vol_BTC_in_GBP,Vol_BTC_in_HKD,Vol_BTC_in_JPY,Vol_BTC_in_PLN,Vol_BTC_in_USD,Vol_BTC_in_others
2000-01-01,00:00:00,UTC,,,,,,,,,,
2010-07-01,00:00:00,UTC,,,,,,,,,31858.88,
2010-08-01,00:00:00,UTC,,,,,,,,,221738.775,
2010-09-01,00:00:00,UTC,,,,,,,,,216812.058,
2010-10-01,00:00:00,UTC,,,,,,,,,1105927.959,
2010-11-01,00:00:00,UTC,,,,,,,,,826247.001,
2010-12-01,00:00:00,UTC,,,,,,,,,263653.099,
2011-01-01,00:00:00,UTC,,,,3954.6044,,,,,377748.415,
2011-02-01,00:00:00,UTC,,,,1916.43315,,,,,367298.743000001,
2011-03-01,00:00:00,UTC,,,,515.594,,,,,243299.25,
2011-04-01,00:00:00,UTC,,,,503.92376,,,,,868760.723999999,
2011-05-01,00:00:00,UTC,,,,37.88857,,,,,949022.93,
2011-06-01,00:00:00,UTC,3,,102.818,100.80143,8,,,1,1230250.69,3
2011-07-01,00:00:00,UTC,1,7.88,1365.617,14,7.65229531,,,5.57,1783.3609999,25.5
2011-08-01,00:00:00,UTC,3,30,3505.419,389.07988,11.03,,54.32018154,1.61,6681.13864168,109.45966663
2011-09-01,00:00:00,UTC,3517.63274725,5.71,4894.11485,751.89014113,22.90561326,,1233.35249757,6.97718328,7039.464795685,5005.6696978
2011-10-01,00:00:00,UTC,3975.32111437,2.772,4935.0471981,1671.52357838,9.32316877,953.55955315,6.88203891,15,13998.9668849,19294.5718963
2011-11-01,00:00:00,UTC,7217.91064937,7.38910149,5207.9153202,2310.06124212,22.76773,565.88439681,59.50009763,2.14199588,164266.055805131,5296.29666469
2011-12-01,00:00:00,UTC,18143.39874357,4981.70173582,9310.30013264,29478.78743917,18467.47412629,101.43735568,188.117699,8195.70338695,1860744.40203187,1740.53837042
2012-01-01,00:00:00,UTC,3769.61523345,5056.16322971,9128.906,61523.97232914,23606.33439655,217.18789352,587.48188295,16093.20711835,3223498.40405971,6393.62891994
2012-02-01,00:00:00,UTC,10866.3858615,9862.70668853,6288.573,51042.41733516,42731.37273497,,1398.19384363,13405.74331096,2855740.80832109,3894.34207908
2012-03-01,00:00:00,UTC,9861.3187573,1435.12044934,8228.12,49876.08677683,48816.43143942,94.3117,1512.91400691,15565.83995697,1783625.74623348,5855.55806867
2012-04-01,00:00:00,UTC,14801.73037447,1683.55900582,7800.342,49191.29846646,49661.6833121,0.03,2377.85714565,11406.64888834,1692049.97599482,3365.46738094
2012-05-01,00:00:00,UTC,10299.63922438,2994.16879572,42835.178,62961.90952978,66937.5189317,0.11154426,3199.04990379,14319.21584507,1304349.13874668,6275.33461541
2012-06-01,00:00:00,UTC,9612.70516214,8575.17323499,15166.403,96061.2397708199,64541.61143078,0.03797625,5084.95618942,17231.23221211,1496287.60556126,6684.97652761
2012-07-01,00:00:00,UTC,10302.13140776,8194.7802499,24984.22,131186.91643826,89250.2609087699,975.09643658,8672.94271807,15102.11127766,2060525.67855264,7707.04684535
2012-08-01,00:00:00,UTC,13189.94958264,6267.19999879,45223.262,186484.73687557,82710.9627435101,838.90091242,37007.43411493,19497.75147702,2675324.37376437,8142.38866378
2012-09-01,00:00:00,UTC,10647.5705112,3114.52193296,19954.063,123122.4657934,51241.98890198,75.08078816,7888.65857365,8257.38500833,1048715.06778296,3963.99478623
2012-10-01,00:00:00,UTC,16970.30204037,2558.9018431,16625.572,143127.695449,32471.82308345,136.71273577,15457.32763844,9195.99760893,1298984.30700576,4052.14511323
2012-11-01,00:00:00,UTC,11197.89137764,4016.33399136,18632.375,130592.89096506,33617.15179694,74.2500986,16711.76494662,8819.08217932,1025373.31864721,5658.03382822
2012-12-01,00:00:00,UTC,38520.60008208,2102.2610246,21816.687,139943.36066294,34440.0060605,48.72180722,6255.21448537,7175.23835595,1072945.78841326,3059.52691896
2013-01-01,00:00:00,UTC,41474.70693164,4799.94950862,34158.384,194041.30056234,50988.05605894,765.19243274,13937.58969428,15067.03792134,1721884.37810213,5977.14200789
2013-02-01,00:00:00,UTC,28767.05513565,7142.20551861,47745.46569223,256451.92838853,45361.55686704,480.97329656,22670.52281849,10618.55457835,1817672.94214245,19253.96533545
2013-03-01,00:00:00,UTC,40957.9857514701,6353.42739282,136139.25741085,433879.88369895,76579.12926983,600.8364304,40970.78821013,20325.44096377,2499463.32390416,38890.15029661
2013-04-01,00:00:00,UTC,96185.9653713699,81469.26872872,329314.43534366,741520.27035247,131388.04732366,986.45338056,74391.82382311,84486.41991184,6330486.65832562,83589.3536639399
2013-05-01,00:00:00,UTC,36453.09058946,34536.72957071,165373.93030367,206055.85906549,41814.58954096,458.94481712,17991.54603454,34434.6281481899,2905124.73912917,27585.74206782
2013-06-01,00:00:00,UTC,31654.69371665,23172.46515644,125619.26840286,132252.37492933,28832.42701084,288.11073455,16098.75125274,21546.69989567,1589255.63630839,16547.64665642
2013-07-01,00:00:00,UTC,30338.38440756,26903.2059243,211921.60044371,142106.58820412,38234.5614642201,116.57865224,35394.53192993,24438.2076431,1942724.30100948,20906.11798634
2013-08-01,00:00:00,UTC,18112.98312225,27498.45126218,175547.73794437,93952.1635965199,32504.0151041,406.01318025,38269.39896487,21796.80806145,1194360.85577093,16987.82184946
2013-09-01,00:00:00,UTC,15723.92755293,21950.40277226,215991.55426472,71166.79920362,24514.5123032,648.68817756,52067.8571594601,19736.08958331,989604.573434814,16278.8403681
2013-10-01,00:00:00,UTC,14701.47556114,31223.62671649,974866.80031369,139628.57196857,36075.59372467,1428.95328968,59158.17482255,23373.15651748,1973032.73303722,23703.81788922
2013-11-01,00:00:00,UTC,14231.99499149,33238.72577177,3314409.55720184,162145.86187095,33943.54613222,14901.2206673,24448.71033343,49031.04376672,3204162.25491963,35809.46920156
2013-12-01,00:00:00,UTC,12139.14644095,23736.6867193999,3280701.04371327,163212.542811399,23209.50760793,10725.02952147,34058.97750643,29530.50273103,3259701.10453408,39691.99084114
2014-01-01,00:00:00,UTC,4326.05037627,10399.83852299,2765658.70940186,71357.9494615298,11623.14243707,2028.94065523,22509.20050229,13521.21645714,1484297.09874896,16011.59727106
2014-02-01,00:00:00,UTC,10367.15085847,15829.8062955,3540241.0993022,210833.1963917,24317.93484465,24914.11612143,71610.74475949,23128.65569698,2943802.46122858,18815.16671114
2014-03-01,00:00:00,UTC,2664.00701824,8152.99279158,3286713.2196857,57517.5768155802,8166.74643221,30998.16167205,12.74914639,10861.29670101,1265712.55629541,9313.09429535
2014-04-01,00:00:00,UTC,3235.89723611,8604.21515117,2773296.97303571,84876.84286075,9468.64390049,28611.77263512,11.32183766,11523.99218586,1580098.29397606,12325.65557822
2014-05-01,00:00:00,UTC,16019.26421985,19019.9641580701,2137324.52072001,83201.6644491802,22610.98565854,31246.1999064,12112.03408022,11969.90515868,907728.658932183,47588.02237491
2014-06-01,00:00:00,UTC,46876.37813708,51455.3443081,3686864.98166003,107781.80839498,54516.9293069898,43890.30379368,43637.07949108,14151.41871538,1049981.84557192,142006.33189969
2014-07-01,00:00:00,UTC,35065.54379725,38643.15351365,2411486.32705001,72915.5056086698,42146.3426888299,31964.06037043,31920.11574984,9220.36516173,603932.896757832,107514.91940861
2014-08-01,00:00:00,UTC,25398.77164899,30473.63466976,3324180.11186004,88559.95602511,33235.4619380499,21668.80253068,21498.87888046,11934.44042834,1052754.06499551,80263.04901086
2014-09-01,00:00:00,UTC,31669.66861409,36368.29830256,3285967.82560002,115445.16969155,43570.9147524201,26490.62163622,26306.06651005,15776.51604366,1292667.34306358,98289.20413918
2014-10-01,00:00:00,UTC,40113.65838453,47279.6030831698,8380404.26250019,146773.45789686,50676.99571596,32769.66392337,32392.08824628,21872.7322787001,2428022.15360194,119984.71071565
2014-11-01,00:00:00,UTC,26336.6308045,32732.56652437,14648129.4901702,114777.78321609,35025.65468885,19732.30696275,19725.69611359,19459.36700365,2388292.67595242,81649.92198882
2014-12-01,00:00:00,UTC,28171.81157009,30393.44150211,9434516.57730014,104864.757825979,33328.7365679,19235.82120736,19093.37892563,18543.83057333,1665562.58590027,82663.02204878
2015-01-01,00:00:00,UTC,45948.3630628599,52933.6177413201,14770434.5422705,247488.116742881,55666.8743144101,33746.69947109,34317.75544601,47830.90249446,4374566.98153135,148912.95836332
2015-02-01,00:00:00,UTC,40795.2386909399,43676.3683003599,9907584.92600074,162426.94164796,48848.99519892,28431.69465071,28505.04775483,35003.31645338,2995338.63929435,105885.194171799
2015-03-01,00:00:00,UTC,44752.4557230601,46109.18244248,12070997.1751608,183134.960903149,56907.3486779599,33219.29086044,33007.43052285,42660.8818858,3257591.95238653,111252.311013444
2015-04-01,00:00:00,UTC,41240.14352036,41744.5681615499,8246950.96630048,137389.88157297,53949.99342793,29495.76336156,29030.8877689,44361.8197617,2342694.78774446,114228.098041647
2015-05-01,00:00:00,UTC,32110.34572296,32392.7310639001,4915856.1516002,129186.72724023,45158.8778387201,20170.90804532,19021.83488164,37864.12645017,1711466.43450454,86313.2984092553
2015-06-01,00:00:00,UTC,36456.81425246,36855.7027599901,4082888.20177034,185062.087438481,55113.3125885899,23777.78888151,21209.21445857,46078.16716513,1958026.59950548,104448.043631248
2015-07-01,00:00:00,UTC,46042.7905387799,57196.8343318201,5404831.80305056,295817.89992334,89700.6587137599,33463.14006822,30526.8040512999,49851.1774776401,2579015.6279906,136020.491441256
2015-08-01,00:00:00,UTC,41086.5395345799,47786.93078103,6854703.13140029,393628.252275311,82165.8561062099,35442.93420153,25641.14623088,59843.9053988999,2712897.81764117,123322.443958807
2015-09-01,00:00:00,UTC,46266.57392864,44777.80252737,6832299.77650031,331545.230483741,86946.01521839,39901.55341215,38940.92255132,38105.65983545,2190972.53026728,131223.958289557
2015-10-01,00:00:00,UTC,27234.71979786,28372.4491615499,22370512.4458001,392270.522525501,72668.4374016802,25246.01860244,50671.10553828,39902.65021546,2851582.11100766,127357.199224474
2015-11-01,00:00:00,UTC,16549.01293189,19366.4271206599,34845030.2760999,609465.525646319,61870.6382184699,90837.36627979,52083.8000903899,58199.04273063,4947776.87138048,176212.743390578
2015-12-01,00:00:00,UTC,11749.75664471,15867.98488124,78732750.347599,486287.57720032,58889.2314786099,82796.15580908,65666.9879604,43946.20508329,3740654.47946498,116736.857681194
2016-01-01,00:00:00,UTC,11208.26133145,15857.53423,75312672.0006997,589485.722422472,150329.74525295,112428.50675821,77801.06136685,34064.79386721,3234190.22199789,93972.7332742137
2016-02-01,00:00:00,UTC,10429.43221233,12823.22810237,60599566.2135997,589814.247607871,78300.8055202399,47552.9201096801,66340.26106976,35149.55332821,3967229.64334726,122524.170484788
2016-03-01,00:00:00,UTC,11860.98595969,16982.20371705,145572932.945201,622983.59732105,96971.50412747,49046.1968572258,119134.40716801,32944.47182955,2047555.30504328,101822.101878516
2016-04-01,00:00:00,UTC,11126.14461135,14231.53126703,54930093.184799,504628.32390896,84814.1816456,52752.00598924,256670.80389888,33220.12510199,1623306.74394491,86606.5983300462
2016-05-01,00:00:00,UTC,11079.45666585,17233.83621584,43073323.0135986,351518.56199708,92303.30108296,24524.33542364,420518.16508052,47636.26977155,1759569.64753097,115102.029555848
2016-06-01,00:00:00,UTC,12557.0815885,24159.24560048,54988203.0204906,570775.775722019,77506.2490526199,469.609,471462.90657703,82778.7220236902,3778140.38957945,143417.898747625
2016-07-01,00:00:00,UTC,10070.68868781,12527.42041285,39232865.5972913,301468.825606369,55983.6793807699,505.5681,903823.054410569,38022.43314344,1988151.98745888,76881.6731192056
2016-08-01,00:00:00,UTC,12530.15905114,11086.18737052,32727521.1448934,307366.686265381,51734.7785262399,566.6153,457678.75269243,45446.4112182,1356157.35129837,90876.6991241254
2016-09-01,00:00:00,UTC,10827.62226898,9206.50235116,44870563.6648966,196384.714221241,28848.76893835,626.7674,532064.65429096,31611.68704225,917656.35290239,76898.3418980473
2016-10-01,00:00:00,UTC,9512.42233882,9965.76983564,113532001.791691,203867.455134659,25453.52533155,454.5918,800546.27538616,22645.8325644101,939797.524923729,85382.7268734371
2016-11-01,00:00:00,UTC,10236.49241294,11597.70189339,173047579.066482,279853.771036231,43059.32649213,386.7413,762515.979132301,29668.09561117,1199814.54284569,89225.8657338797
2016-12-01,00:00:00,UTC,9668.13656542,12509.33773066,168225589.923778,332648.309575169,57088.7963689199,454.5632,836101.150569769,43711.9204985,1324066.33226041,91435.5891707466
2017-01-01,00:00:00,UTC,10685.81384987,18113.7281572,103994291.703876,492915.81523115,62960.83728208,299.7663,868158.708808488,73512.3558697801,2210908.39790514,98892.0591536424
2017-02-01,00:00:00,UTC,7744.13229002,12807.56936923,909937.933900001,369990.005541951,49315.5127885801,316.8781,654178.641321027,48426.71345127,1529379.16119919,88345.4556297432
2017-03-01,00:00:00,UTC,13053.64913677,24348.81198231,706754.618964041,679485.366905692,71419.87059324,350.70612204,591385.78201939,68046.09604411,2642112.98851449,107155.665518839
2017-04-01,00:00:00,UTC,9491.06947624,14155.07560691,507379.03841356,371482.441408972,52737.7211183601,518.07641358,249148.15174021,45283.0630298099,1472678.2052328,83845.973944342
2017-05-01,00:00:00,UTC,14939.53934715,26909.8719811199,1240203.16080269,887884.2113589,83072.25490084,386.59717313,441051.95220694,75619.5022206699,3052028.53678019,119322.420952688
2017-06-01,00:00:00,UTC,11631.5536428,22459.95957735,835829.214412718,723952.56067065,73054.34730133,342.69055833,343186.619981789,55718.71440065,2559555.81328139,81880.2569462673
2017-07-01,00:00:00,UTC,10188.59735264,22148.46387659,751014.1833973,618746.8837733,69039.59896971,210.92916243,464468.3150897,52187.77980299,2858353.78293964,76280.8582579794
2017-08-01,00:00:00,UTC,12210.80447472,19837.77211625,1064368.78057274,541128.716896499,53791.2290565001,534.09451664,407347.133899608,43871.6126132399,2549123.75890985,76428.5199209467
2017-09-01,00:00:00,UTC,14867.97336936,20741.94994346,856599.901510179,567052.828555721,50086.67607399,450.25980088,557263.848131371,40005.98009992,3226460.86593979,77072.8815298065
2017-10-01,00:00:00,UTC,10920.85727549,14049.76009044,100091.33851944,404397.392879401,65845.73624221,360.03704343,648933.131105719,10720.99004902,2663639.84739521,70168.1983254103
2017-11-01,00:00:00,UTC,20934.48403542,22863.73828633,7198.31934432,570634.74234557,99191.8564764301,419.36978298,737817.03589226,13521.06461589,4222248.51339621,85925.8453226746
2017-12-01,00:00:00,UTC,31467.2956762,27045.39551604,4692.17728941,656286.872164078,110577.73189975,315.41503011,695535.242074593,12491.50688347,4759735.14456125,84391.4004390499
